,Title,Date,Text,Poster,MultiMedia
0,"Dec 13, 2019","Dec 13, 2019","Happy Friday! What will you be meal prepping this weekend? Why not these delicious egg cups!? I'm @carmyshungry and I'll be taking over the @eggsoeufs Instagram channel to show you a step by step of how to make these delicious farmhouse egg cups.

Loaded with fresh veggies and high-quality protein from the eggs, this dish is a perfectly balanced meal that you can enjoy for breakfast, lunch and dinner, or as a snack to keep you fueled throughout the day. Healthy egg dishes made with natural, vitamin-rich foods can come together in less than 10 minutes, any time of day; and this meal is no exception! Visit eggs.ca and view my stories for instructions on how to quickly whip up this yummy, nutrient-filled dish.
#eggsanytime #partner",eggsoeufs,https://scontent.cdninstagram.com/v/t51.2885-15/78853915_2486352751463291_3785667859927759041_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent.cdninstagram.com&_nc_cat=111&_nc_ohc=mpW2dWAdx_cAX8zVtLH&edm=APs17CUBAAAA&ccb=7-5&ig_cache_key=MjE5ODEwNTM1OTU3Nzk2MDMwOQ%3D%3D.2-ccb7-5&oh=00_AfAOFI4Xg0sqt2Mu6HPqCFwfywal3ih4vSQjqdDfvkdXew&oe=64671C60&_nc_sid=978cb9
0,"Jun 22, 2021","Jun 22, 2021","To learn about how much protein your child needs and the best protein foods for children, check out the new blog post by Registered Dietitian @sarahremmer! Link in bio.⁠
⁠
Pour connaître la quantité de protéines dont votre enfant a besoin et les meilleurs aliments protéinés pour les enfants, consultez le nouvel article du blogue de la diététicienne @sarahremmer ! Lien dans la bio.",eggsoeufs,https://scontent.cdninstagram.com/v/t51.2885-15/204957857_353527196129014_2901231029546063393_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent.cdninstagram.com&_nc_cat=110&_nc_ohc=U148CFRMf-YAX93TjSk&edm=APs17CUBAAAA&ccb=7-5&ig_cache_key=MjYwMTc5MTQzOTQwOTkxNTY2MQ%3D%3D.2-ccb7-5&oh=00_AfBASIOHne9-Y_03irtNqS-Ogx_IYkvW_ZVn16mz3ieANA&oe=6465C658&_nc_sid=978cb9
0,"Feb 27, 2023","Feb 27, 2023","What can we say? We’re in our #bagel era and @emilymhamilton’s #BreakfastSandwich is right up our alley 🥰 #EggsAnytime #Breakfast⁠
⁠
Que pouvons-nous dire? Nous sommes dans notre ère du #bagel et le #SandwichDéjeuner de @emilymhamilton est tout à fait dans nos cordes 🥰 #OeufsATouteHeure",eggsoeufs,https://instagram.fymq2-1.fna.fbcdn.net/v/t51.2885-15/341723917_1697187590701984_3177054404630801145_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fymq2-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=ECzg5N5zyfcAX8BsYG2&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MzA4NDQ5MzkzMTE2NjIxNjI0Ng%3D%3D.2-ccb7-5&oh=00_AfAllEdOd-c-Q9iu5eDKzH1L8imDmKoZNboNIdTXY-0u7g&oe=64670823&_nc_sid=6136e7
0,"Mar 26, 2021","Mar 26, 2021","With warmer weather around the corner, there's no better time than now to spring clean your diet.⁠⠀
⁠⠀
Get started by making healthy snacks readily available. We like to boil eggs and cut veggies ahead of time, storing in clear containers for easy access 🥚🥕 Share with us your easiest healthy snack below! And find more tips in the link in bio. #SpringCleaning #EatClean⁠⠀
⁠⠀
L'arrivée du beau temps représente l'occasion idéale pour faire le ménage du printemps de vos habitudes alimentaires.⁠⠀
Commencez par préparer des collations saines que vous pourrez avoir sous la main rapidement. Nous aimons faire bouillir des œufs et couper des légumes à l'avance et les conserver dans des contenants transparents pour une collation rapide 🥚🥕 Dites-nous quelle est votre collation de prédilection ci-dessous ! ⁠⠀
⁠⠀
Découvrez notre guide de meilleures habitudes alimentaires sur le lien dans notre bio.",eggsoeufs,https://instagram.fymq2-1.fna.fbcdn.net/v/t51.2885-15/341723917_1697187590701984_3177054404630801145_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fymq2-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=ECzg5N5zyfcAX8BsYG2&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MzA4NDQ5MzkzMTE2NjIxNjI0Ng%3D%3D.2-ccb7-5&oh=00_AfAllEdOd-c-Q9iu5eDKzH1L8imDmKoZNboNIdTXY-0u7g&oe=64670823&_nc_sid=6136e7
0,"Sep 28, 2019","Sep 28, 2019","Oatmeal, but give it an easy edge. 🙌 Comment below what topping you’ll be adding! | Donnez un petit coup de pouce à votre gruau. 🙌 Laissez-nous un commentaire pour nous dire ce que vous y ajouterez!",eggsoeufs,https://scontent.cdninstagram.com/v/t51.2885-15/69563992_129230648454664_2465094863973645920_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent.cdninstagram.com&_nc_cat=104&_nc_ohc=KYxJX_wPjFkAX_IZKzm&edm=APs17CUBAAAA&ccb=7-5&ig_cache_key=MjE0MzAxMzU5NDEzOTUwNTk3Mg%3D%3D.2-ccb7-5&oh=00_AfBDeVQ_NIu0JNXNwajTU3UuIi05_d8b7DqktVv_HqCjzQ&oe=6466E80E&_nc_sid=978cb9
0,"Jun 17, 2022","Jun 17, 2022","Looking for picnic lunch ideas? Try this fun Greek twist on a classic #EggBurrito wrap! It's simple to prep and easy to savour while enjoying some fresh air. Check out our recipe in bio! #EggsAnytime⁠
⁠
Vous cherchez des idées de pique-nique? Essayez cette amusante variante grecque du classique wrap burrito aux œufs! C'est simple à préparer et facile à savourer en profitant de l'air frais. Découvrez notre recette avec le lien dans notre bio! #OeufsATouteHeure",eggsoeufs,https://scontent.cdninstagram.com/v/t51.2885-15/288386847_444598090356690_1224682210250797996_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent.cdninstagram.com&_nc_cat=106&_nc_ohc=oFVzjfvWK_8AX9EA5U9&edm=APs17CUBAAAA&ccb=7-5&ig_cache_key=Mjg2MjcxMDQ2OTkxNzQ0ODc0Nw%3D%3D.2-ccb7-5&oh=00_AfB05EiBzPWDiA13IuuUbAqBaZnxsxvR5Ev7zcTMi6h1Cw&oe=6466BBF8&_nc_sid=978cb9
0,"Jul 6, 2022","Jul 6, 2022","""Chick"" it out #Calgary! Who doesn't love a crispy fried chicken sandwich with a perfectly drippy egg #yolk? 🍳 We are a huge fan of this eggstra loaded sammy from award-winning restaurant @chixeggshop. Pay them a visit for #NationalFriedChickenDay⁠
⁠
Regardez ça #Calgary! Qui n'aime pas un sandwich au poulet frit croustillant avec un jaune d'œuf parfaitement dégoulinant? 🍳Nous sommes un grand fan de ce sandwich de @chixeggshop. Rendez-leur visite pour la journée nationale du poulet frit!",eggsoeufs,https://scontent.cdninstagram.com/v/t51.2885-15/291899750_179086151187726_985690813980668482_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent.cdninstagram.com&_nc_cat=106&_nc_ohc=s_KkpBhJTqMAX-yyk6w&edm=APs17CUBAAAA&ccb=7-5&ig_cache_key=Mjg3NjQ4MTM0MDMwMTg3Mzc3OA%3D%3D.2-ccb7-5&oh=00_AfDC0zAjOUnfxMsWjw07eoPVXygIgtAG7ld1QB8Wlo568w&oe=6465E602&_nc_sid=978cb9
0,"Dec 11, 2022","Dec 11, 2022","Rocking that comfy #WFH outfit? 😉 @reallifenutrition.rd has the best #WFHLunch idea! #EggsAnytime #EggSandwich #EggRecipes⁠
⁠
Vous vous sentez bien dans votre tenue de travail à distance? 😉 @reallifenutrition.rd a la meilleure idée pour un lunch à distance! #OeufsATouteHeure",eggsoeufs,https://instagram.fymq2-1.fna.fbcdn.net/v/t51.2885-15/341723917_1697187590701984_3177054404630801145_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fymq2-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=ECzg5N5zyfcAX8BsYG2&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MzA4NDQ5MzkzMTE2NjIxNjI0Ng%3D%3D.2-ccb7-5&oh=00_AfAllEdOd-c-Q9iu5eDKzH1L8imDmKoZNboNIdTXY-0u7g&oe=64670823&_nc_sid=6136e7
0,"Apr 1, 2019","Apr 1, 2019","Say Bonjour to your new favourite sandwich: the Montreal Croque Madam. Talk about taking a classic sandwich to the next level! 🥪Recipe link in bio. | Faites la connaissance de votre nouveau sandwich préféré : le croque-madame de Montréal. Ça, c’est un classique réinventé! 🥪 Vous trouverez le lien vers la recette dans notre bio.",eggsoeufs,https://scontent.cdninstagram.com/v/t51.2885-15/54732504_161238398214130_885804011456414254_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent.cdninstagram.com&_nc_cat=110&_nc_ohc=QhEglPdCiEgAX_6STMo&edm=APs17CUBAAAA&ccb=7-5&ig_cache_key=MjAxMjY5ODczMjA4ODc1NTI1MA%3D%3D.2-ccb7-5&oh=00_AfBeZGDzj6e-kTsiJJT5rHm8nMk_leTCyDIhoeIeWZiTEw&oe=6465C317&_nc_sid=978cb9
0,"Jan 9, 2023","Jan 9, 2023","The sky is the limit when it comes making an #omelette. 🍳 If you're looking for a delicious omelette recipe that will change your dinner game, yes.. we meant dinner, you can find some inspo on our website. Link in bio.#EggRecipes #OmeletteRecipes #EggsForDinner⁠
⁠
Il n'y a pas de limite quand il s'agit de cuisiner une #omelette. 🍳 Si vous cherchez une délici'oeuf'se recette d'omelette qui transformera vos soupers, oui... nous avons dit souper, vous pouvez trouver de l'inspiration sur notre site Web. Lien dans notre bio.",eggsoeufs,https://scontent.cdninstagram.com/v/t51.2885-15/324072750_196967736240230_6435784051120765401_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent.cdninstagram.com&_nc_cat=102&_nc_ohc=XLmoKzzWVc4AX_peYIO&edm=APs17CUBAAAA&ccb=7-5&ig_cache_key=MzAxMjA3NDQ3MTAwMzMzMjk5MQ%3D%3D.2-ccb7-5&oh=00_AfA0d9dAyiXYyeNUrie9PaP9Ar9e1r9omVXtLFqM01QqMA&oe=6465ABC4&_nc_sid=978cb9
